Rank,Film,Year,Count,"Running time
(minutes)"
1.,Swearnet: The Movie,2014,935,112
2.,Fuck (documentary),2005,857,93
3.,The Wolf of Wall Street,2013,569,180
4.,Uncut Gems,2019,560,135
5.,Summer of Sam,1999,435,142
6.,Nil by Mouth,1997,428,128
7.,Casino,1995,422,178
8.,Alpha Dog,2006,420,118
9.,Straight Outta Compton,2015,392,167
10.,The Outpost,2020,355,123
11.,Starred Up,2013,337,106
12.,End of Watch,2012,326,109
13.,State Property,2002,321,88
14.,One Day Removals,2008,320,85
15.,Twin Town,1997,318,99
16.,Running Scared,2006,315,122
17.,Sweet Sixteen,2002,313,106
18.,Martin Lawrence Live: Runteldat,2002,311,113
19.,Menace II Society,1993,300,97
20.,Goodfellas,1990,300,146
21.,Narc,2002,297,105
22.,Harsh Times,2006,296,116
23.,Another Day in Paradise,1998,291,101
24.,Made,2001,291,94
25.,Pride and Glory,2008,291,130
26.,Malcolm & Marie,2021,289,106
27.,Goat,2016,289,96
28.,Wheelman,2017,286,82
29.,Small Engine Repair,2021,281,103
30.,The Big Lebowski,1998,281,117
31.,Dirty,2005,280,97
32.,Jarhead,2005,278,123
33.,Cherry,2021,276,140
34.,Bully,2001,274,114
35.,State Property 2,2005,271,94
36.,Brooklyn's Finest,2010,270,132
37.,Reservoir Dogs,1992,269,99
38.,Pulp Fiction,1994,265,154
39.,I'm Still Here,2010,250,106
40.,Jay and Silent Bob Strike Back,2001,248,104
41.,Do the Right Thing,1989,240,120
42.,Free Fire,2016,240,90
43.,The Boondock Saints,1999,239,108
44.,The Departed,2006,237,151
45.,Empire,2002,236,90
46.,Black Mass,2015,234,123
47.,True Romance,1993,234,118
48.,Resolution,2012,231,93
49.,Goon,2012,231,92
50.,Infamous,2020,230,100
51.,My Name Is Joe,1998,230,105
52.,State of Grace,1990,230,134
53.,Gridlock'd,1997,227,91
54.,The Devil's Rejects,2005,224,109
55.,Eddie Murphy Raw,1987,223,90
56.,Suicide Kings,1997,222,106
57.,Looking for Eric,2009,220,116
58.,Zack and Miri Make a Porno,2008,219,102
59.,30 Minutes or Less,2011,218,83
60.,Red Rocket,2021,218,130
61.,Black and White,1999,215,98
62.,American History X,1998,214,119
63.,The Original Kings of Comedy,2000,213,115
64.,Hot Tub Time Machine,2010,212,99
65.,All Eyez on Me,2017,210,140
66.,Layer Cake,2004,210,105
67.,Monument Ave.,1998,210,93
68.,Scarface,1983,207,170
69.,Spun,2002,203,101
70.,8 Mile,2002,200,110
71.,22 Jump Street,2014,200,112
72.,A Bronx Tale,1993,200,120
73.,Dysfunktional Family,2003,200,89
74.,Foolish,1999,200,97
75.,Skin,2019,200,110
76.,This Is the End,2013,200,107
77.,I Got the Hook-Up,1998,197,93
78.,Born on the Fourth of July,1989,196,145
79.,Sabotage,2014,196,109
80.,Bodies Bodies Bodies,2022,194,95
81.,Killing Them Softly,2012,193,97
82.,Next Day Air,2009,193,84
83.,Overnight,2003,191,82
84.,Magnolia,1999,190,188
85.,Ten Benny [d],1996,190,108
86.,Monster,2003,187,109
87.,Belly,1998,186,92
88.,Hustle & Flow,2005,186,116
89.,Clockers,1995,185,128
90.,Get Rich or Die Tryin',2005,185,117
91.,The Wall,2017,185,88
92.,Bad Santa 2,2016,180,92
93.,Bodied,2017,179,121
94.,Flawless,1999,178,112
95.,Silk Road,2021,177,112
96.,Slam,1998,176,100
97.,Superbad,2007,176,113
98.,Pineapple Express,2008,175,112
99.,Trainspotting,1996,175,95
100.,Poetic Justice,1993,175,109
101.,Project X,2012,175,88
102.,Human Traffic,1999,174,99
103.,Bad Santa,2003,173,91
104.,Tigerland,2000,173,101
105.,Donnie Brasco,1997,172,127
106.,Coffee & Kareem,2020,171,88
107.,Mid90s,2018,171,85
108.,Backstage,2000,170,86
109.,Dolemite Is My Name,2019,169,118
110.,Grindhouse,2007,169,191
111.,Killerman,2019,169,112
112.,The Commitments,1991,169,118
113.,Four Rooms,1995,168,98
114.,Death of a Dynasty,2003,167,92
115.,Studio 666,2022,165,106
116.,Babylon,2022,165,188
117.,District 9,2009,165,112
118.,Gang Related,1997,165,110
119.,Wrath of Man,2021,165,119
120.,Boogie Nights,1997,164,155
121.,Crank: High Voltage,2009,164,96
122.,Blood In Blood Out[e],1993,163,190
123.,The 51st State [f],2001,163,92
124.,21 & Over,2013,162,93
125.,Everybody Wants Some!!,2016,161,116
126.,The Grey,2012,161,117
127.,Lone Survivor,2013,161,121
128.,Dirty Grandpa,2016,160,102
129.,Good Time,2017,160,101
130.,Sausage Party,2016,160,89
131.,Assassination Nation,2018,160,108
132.,Sorry to Bother You,2018,160,112
133.,Platoon,1986,159,120
134.,Snatch,2000,159,102
135.,The Heat,2013,158,117
136.,Blue Collar,1978,158,114
137.,Colors,1988,157,120
138.,Dead Presidents,1995,157,119
139.,Copshop,2021,157,107
140.,Magic Mike,2012,156,110
141.,That's My Boy,2012,156,114
142.,Intermission,2003,155,102
143.,Legend,2015,155,131
144.,The Town,2010,155,124
145.,The Blair Witch Project,1999,154,81
146.,Contraband,2012,154,111
147.,Funny People,2009,154,146
148.,Good Will Hunting,1997,154,126
149.,Notorious,2009,154,123
150.,Bad Boys II,2003,153,147
151.,Boiler Room,2000,153,120
152.,All About the Benjamins,2002,151,98
153.,Ash Wednesday,2002,151,99
154.,In the Name of the Father,1993,151,133
155.,Smokin' Stogies,2001,151,98
156.,Soul Men,2008,151,100
157.,All Day and a Night,2020,150,121
158.,American Honey,2016,150,163
159.,Clerks II,2006,150,97
160.,Hoffa,1992,150,140
161.,The Place Beyond the Pines,2012,150,140
162.,Patriots Day,2016,150,133
163.,The Fighter,2010,150,116
164.,War Dogs,2016,150,114
165.,The Night Before,2015,150,101
