,rank,name,owner_ship,grade,TLR,RPC,go,oi,perc,total
0,1,IIT Madras - Indian Institute of Technology,Public/Government,AAAAA,94.62,97.66,80.42,62.85,100.0,90.04
1,2,IIT Delhi - Indian Institute of Technology,Public/Government,AAAAA,86.95,96.0,83.43,68.56,96.92,88.12
2,3,IIT Bombay - Indian Institute of Technology,Public/Government,AAAAA,87.53,90.82,79.18,57.36,88.7,83.96
3,4,IIT Kanpur - Indian Institute of Technology,Public/Government,AAAAA,87.95,79.98,89.71,59.47,83.01,82.56
4,5,IIT Kharagpur - Indian Institute of Technology,Public/Government,AAAAA,79.21,84.61,80.91,53.09,82.63,78.89
5,6,IIT Roorkee - Indian Institute of Technology,Public/Government,AAAAA,75.98,78.1,90.12,63.09,61.36,76.7
6,7,IIT Guwahati - Indian Institute of Technology,Public/Government,AAAAA,75.89,72.89,84.64,56.9,57.15,72.98
7,8,NIT Trichy - National Institute of Technology Tiruchirappalli,Public/Government,AAAAA,76.39,58.43,79.16,64.49,64.38,69.17
8,9,IIT Hyderabad - Indian Institute of Technology,Public/Government,AAAAA,80.32,59.89,72.39,54.85,59.96,68.03
9,10,NIT Surathkal - National Institute of Technology Karnataka,Public/Government,AAAAA,72.87,56.42,77.69,63.89,53.24,66.04
10,11,"Jadavpur University, Kolkata",Public/Government,AAAAA,71.38,64.41,78.11,52.33,40.97,65.68
11,12,VIT Vellore - Vellore Institute of Technology,Private,AAAAA,62.53,73.3,69.44,59.27,49.6,65.53
12,13,IIT BHU - Indian Institute of Technology Banaras Hindu University,Public/Government,AAAAA,62.62,57.25,81.72,56.06,55.89,63.51
13,14,IIT Dhanbad - Indian Institute of Technology Indian School of Mines,Public/Government,AAAA,68.7,65.38,71.17,54.34,36.23,63.5
14,15,NIT Rourkela - National Institute of Technology,Public/Government,AAAA,73.39,59.44,71.8,57.08,24.43,62.36
15,16,IIT Indore - Indian Institute of Technology,Public/Government,AAAAA,76.28,56.75,70.39,52.48,24.43,61.68
16,17,"Anna University, Chennai",Public/Government,AAAA,64.33,64.59,57.8,48.88,62.83,61.41
17,18,ICT Mumbai - Institute of Chemical Technology,Public/Government,AAAAA,76.45,56.99,69.53,54.58,19.95,61.4
18,19,"Amrita Vishwa Vidyapeetham, Coimbatore",Private,AAAAA,68.97,58.64,61.39,61.77,41.78,60.92
19,20,IIT Mandi - Indian Institute of Technology,Public/Government,AAAAA,75.76,44.05,77.55,67.16,22.57,60.43
20,21,NIT Warangal - National Institute of Technology,Public/Government,AAAAA,73.99,45.7,75.12,54.91,35.77,60.0
21,22,IIT Ropar - Indian Institute of Technology,Public/Government,AAAAA,81.06,38.78,68.75,63.67,30.87,59.16
22,23,IIT Gandhinagar - Indian Institute of Technology,Public/Government,AAAAA,80.19,39.08,64.63,60.47,35.07,58.27
23,24,SRM University Chennai - SRM Institute of Science and Technology,Private,AAAA,61.21,59.2,67.16,61.76,22.89,58.02
24,25,"Amity University, Noida",Private,none,69.95,62.18,55.67,57.33,12.19,57.73
25,26,JMI New Delhi - Jamia Millia Islamia,Public/Government,AAAA,59.53,57.45,73.54,60.95,16.07,57.51
26,27,"Siksha 'O' Anusandhan, Bhubaneswar",Private,AAAA,75.94,40.02,68.72,69.54,19.95,57.48
27,28,Thapar University - Thapar Institute of Engineering and Technology,Private,AAAA,59.52,56.97,71.19,54.56,25.33,57.18
28,29,BITS Pilani - Birla Institute of Technology and Science,Private,AAAAA,60.84,46.29,78.27,54.2,36.91,56.9
29,30,IIT Jodhpur - Indian Institute of Technology,Public/Government,AAAAA,78.42,34.92,74.41,66.44,11.78,56.7
30,31,NIT Calicut - National Institute of Technology,Public/Government,AAAAA,67.13,36.3,76.86,63.72,38.88,56.66
31,32,VNIT Nagpur - Visvesvaraya National Institute of Technology,Public/Government,AAAAA,66.38,48.85,75.64,53.15,16.07,56.62
32,33,IIT Patna - Indian Institute of Technology,Public/Government,AAAA,71.45,47.78,62.39,51.47,27.92,56.19
33,34,NIT Durgapur - National Institute of Technology,Public/Government,AAAA,67.6,43.31,72.76,57.76,21.61,55.76
34,35,DTU Delhi - Delhi Technological University,Public/Government,AAAA,68.98,34.76,73.36,56.15,42.38,55.65
35,36,IIT Bhubaneswar - Indian Institute of Technology,Public/Government,AAAAA,70.09,36.9,70.0,60.78,29.29,55.11
36,37,AMU Aligarh - Aligarh Muslim University,Public/Government,none,70.9,53.82,57.01,42.37,16.43,54.7
37,38,NIT Silchar - National Institute of Technology,Public/Government,AAAA,65.49,48.0,66.79,57.58,14.56,54.63
38,39,"Kalasalingam Academy of Research and Education, Virudhunagar",Private,AAAA,73.6,32.26,64.82,74.34,24.73,54.62
39,40,IIEST Shibpur - Indian Institute of Engineering Science and Technology,Public/Government,AAAAA,60.11,48.02,67.41,48.26,38.23,54.57
