,Rank,Channel_Name,Subscriber_Count,Video_Views,Video_Count,Genre,Channel_Started
0,1,T-Series,237000000,216495600668,18831,Music,2006
1,2,Cocomelon - Nursery Rhymes,154000000,152638999634,861,Education,2006
2,3,SET India,152000000,140138068504,105649,Film & Animation,2006
3,4,Sony SAB,77500000,92952274861,65028,Film & Animation,2007
4,5,✿ Kids Diana Show,108000000,88452629066,1070,People & Blogs,2015
5,6,Like Nastya,104000000,88060349741,762,People & Blogs,2016
6,7,WWE,93500000,74447865775,66901,Sports,2007
7,8,Vlad and Niki,93900000,73333582362,530,Entertainment,2018
8,9,Movieclips,58700000,58923017461,40063,Film & Animation,2006
9,10,Colors TV,60200000,58056997206,104523,Film & Animation,2008
10,11,Zee Music Company,92800000,54295114324,7768,Music,2014
11,12,El Reino Infantil,55600000,54151900416,1434,Music,2011
12,13,Ryan's World,34400000,54008224558,2321,Entertainment,2015
13,14,netd müzik,23600000,53867289619,22108,Music,2014
14,15,ABS-CBN Entertainment,42600000,49164270097,187424,People & Blogs,2008
15,16,Toys and Colors,38600000,44642348659,910,Entertainment,2016
16,17,ChuChu TV Nursery Rhymes & Kids Songs,61900000,42589514748,546,Education,2013
17,18,Zee TV,65900000,42064672138,98369,Entertainment,2005
18,19,Super Simple Songs - Kids Songs,37800000,41715976696,667,Education,2006
19,20,Wave Music,56300000,39258909308,19031,Music,2014
20,21,Little Baby Bum - Nursery Rhymes & Kids Songs,40800000,38840192263,2287,Education,2011
21,22,Canal KondZilla,66400000,37297721449,2393,Music,2012
22,23,Pinkfong Baby Shark - Kids' Songs & Stories,65700000,36688824621,2647,Education,2011
23,24,WorkpointOfficial,38300000,35265515153,68255,Entertainment,2012
24,25,Маша и Медведь,41600000,35041524012,1316,Film & Animation,2011
25,26,HAR PAL GEO,38000000,33884922133,84696,Entertainment,2008
26,27,ARY Digital HD,39800000,33692884745,92357,Entertainment,2016
27,28,YRF,52200000,33001702137,3528,Film & Animation,2006
28,29,Tips Official,57000000,31392740249,4182,Music,2007
29,30,LooLoo Kids - Nursery Rhymes and Children's Songs,52900000,31261734882,621,Music,2014
30,31,LankyBox,23300000,31155421572,7307,Comedy,2016
31,32,Shemaroo Filmi Gaane,64000000,30308486987,8535,Music,2010
32,33,Justin Bieber,71000000,29802309718,249,Music,2007
33,34,Get Movies,44800000,29583070279,3193,Entertainment,2006
34,35,Ed Sheeran,53000000,29256187171,264,Music,2006
35,36,BLACKPINK,84400000,29178260651,475,People & Blogs,2016
37,38,PewDiePie,111000000,28920114696,4700,Gaming,2010
38,39,Bad Bunny,45300000,28697537555,128,Music,2014
39,40,GMANetwork,30100000,28240012927,128766,Entertainment,2006
40,41,Infobells - Hindi,49200000,28093078858,526,Education,2014
41,42,Taylor Swift,51000000,28081584959,206,Music,2006
42,43,Sony Music India,55900000,27598909527,3457,Music,2009
43,44,T-Series Bhakti Sagar,58100000,27517331414,25114,Music,2011
44,45,DisneyMusicVEVO,31700000,27023117927,1942,Music,2010
45,46,قناة طيور الجنة | toyoraljanahtv,29500000,26955901326,3191,Entertainment,2008
46,47,Ch3Thailand,32700000,26827714564,86169,Entertainment,2014
47,48,HYBE LABELS,69300000,26485581171,1108,Music,2008
48,49,SMTOWN,31500000,26475897382,4086,Music,2006
49,50,Sony PAL,35900000,26412224144,22211,Film & Animation,2014
50,51,ช่อง one31,36400000,26280826947,106483,Entertainment,2013
51,52,Tsuriki Show,18300000,26198962430,2299,Entertainment,2019
52,53,SonyMusicIndiaVEVO,45200000,26094337405,3369,Music,2009
53,54,JustinBieberVEVO,31700000,26082718186,204,Music,2009
54,55,Speed Records,42000000,26010508068,10682,Music,2012
55,56,Shakira,40800000,25929013006,308,People & Blogs,2005
56,57,EminemMusic,55400000,25713668530,140,Music,2007
57,58,BabyBus - Kids Songs and Cartoons,31700000,25652048457,1999,Education,2016
58,59,5-Minute Crafts,78900000,25251693106,6022,Howto & Style,2016
59,60,La Granja de Zenón,34000000,25243742160,613,Music,2013
60,61,GMM GRAMMY OFFICIAL,22700000,25007763545,14685,Music,2010
61,62,Vijay Television,19000000,24990083268,40319,Entertainment,2007
62,63,Galinha Pintadinha,32600000,24972463590,65,Film & Animation,2006
63,64,GR6 EXPLODE,38500000,24945998838,4156,Music,2014
64,65,Katy Perry,43900000,24847554662,120,Music,2008
65,66,Aditya Music,27600000,24574327626,21020,Music,2008
66,67,TaylorSwiftVEVO,25700000,24560011076,262,Music,2009
67,68,shakiraVEVO,18400000,24083534504,194,Music,2009
68,69,FGTeeV,21700000,23458547498,1674,Gaming,2013
69,70,1theK (원더케이),24400000,23411691878,17842,Music,2011
70,71,KatyPerryVEVO,24700000,23318716419,173,Music,2009
71,72,Ariana Grande,52300000,23242590833,146,Music,2007
72,73,Aaj Tak,55700000,23158451096,242010,News & Politics,2009
73,74,Maria Clara & JP,36000000,22985098433,699,People & Blogs,2015
74,75,Genevieve's Playhouse - Learning Videos for Kids,32100000,22903828008,595,Education,2016
75,76,MrBeast,135000000,22825311283,735,Entertainment,2012
76,77,Shemaroo,44800000,22772741613,10873,Entertainment,2007
77,78,shfa2 - شفا,38200000,22708961183,1497,People & Blogs,2017
78,79,TheEllenShow,38300000,22582266136,15189,Entertainment,2006
79,80,SSSniperWolf,33300000,22571436070,3224,Gaming,2013
80,81,Ozuna,35900000,22495873334,164,Music,2016
81,82,J Balvin,33900000,22414170197,134,Music,2011
82,83,Masha and The Bear,39200000,22375849147,1063,Film & Animation,2014
83,84,CookieSwirlC,19300000,22362308350,3683,Entertainment,2013
84,85,Peppa Pig - Official Channel,30300000,22078360113,2645,Film & Animation,2013
85,86,Goldmines,82700000,22065857870,5350,Film & Animation,2012
86,87,Daddy Yankee,37600000,21894518622,476,Music,2011
87,88,Sesame Street,23100000,21847663213,3564,Entertainment,2006
88,89,Maroon 5,36400000,21827045577,163,Music,2006
89,90,Nick Jr.,26600000,21722772621,5145,Film & Animation,2012
90,91,Little Angel: Nursery Rhymes & Kids Songs,29600000,21699308772,1232,Education,2015
91,92,etvteluguindia,18700000,21665592262,120122,Entertainment,2010
92,93,LUCCAS NETO - LUCCAS TOON,38800000,21619683879,2067,People & Blogs,2014
93,94,LeoNata Family,16200000,21562386713,1871,People & Blogs,2021
94,95,The Weeknd,31100000,21532436284,131,Music,2011
95,96,Rihanna,41200000,21484482902,82,Entertainment,2005
97,98,Bollywood Classics,33300000,20890501469,1970,Music,2012
98,99,HUM TV,25400000,20838737685,89867,Entertainment,2011
99,100,Spinnin' Records,29900000,20780114029,11110,Music,2007
100,101,A4,44400000,20710970132,722,Gaming,2014
101,102,Inside Edition,11500000,20650907165,29223,News & Politics,2012
102,103,Maluma,29000000,20560950991,21,Music,2018
103,104,shfa,37400000,20481763979,936,People & Blogs,2015
104,105,Alan Chikin Chow,19100000,20348395082,702,Comedy,2020
105,106,jbalvinVEVO,13200000,20330493553,235,Music,2010
106,107,T-Series Apna Punjab,33800000,20285993947,7272,Music,2011
107,108,Bounce Patrol - Kids Songs,27500000,20270757904,238,Music,2013
108,109,Voot Kids,43000000,20019473962,4064,Entertainment,2016
109,110,Disney Latinoamérica,21200000,20004403352,7985,Entertainment,2007
110,111,WORLDSTARHIPHOP,26300000,19998524070,6737,Music,2008
111,112,StarPlus,26700000,19979785524,28853,Entertainment,2006
112,113,LEGO,15700000,19887333818,29807,Entertainment,2005
113,114,EminemVEVO,24800000,19815644789,104,Music,2009
114,115,DONA 도나,30000000,19780472075,163,Entertainment,2018
115,116,Markiplier,34500000,19675534854,5422,Gaming,2012
116,117,ArianaGrandeVevo,17800000,19650537182,177,Music,2010
117,118,BANGTANTV,73700000,19590473596,2122,Music,2012
118,119,Maroon5VEVO,14500000,19565971464,143,Music,2009
119,120,CVS 3D Rhymes & Kids Songs,32100000,19508008622,338,Education,2008
120,121,GRAMMY GOLD OFFICIAL,18100000,19359121296,6012,Music,2014
